ID,specifypositive_April2020,specifypositive_May2020,specifypositive_Nov2020,specifypositive_April2021
e4e78641,More exercise,More exercise,,More exercise
e51a835e,,,,School
e5aeeab4,,,,Spending more time with my family.
e5eaa80b,,,,More time spent with family
e68248f3,"Home learning, more practical learning, more time around family",,,
e6eecdea,,,,
e70933d6,more time for schoolwork,,,catching up on rest
e752842a,,,,
e76fcd64,,"He can't play outside, he can't attend on his class.",,
e7ad35e0,,Reading more,,
e7be4d33,More time with family,"More time with parents, parents now helping with home schooling","More time at home with parents, learning to be more adaptable",More time with family
e7c7df06,,,"I now home educate him, but would have preferred to have left him in school with the option of online lessons until I felt it was safe for him to go back",He seems to get on with learning at home a lot better. He has a heightened sense of the importance of staying safe.
e7d970eb,Able to talk more at home about school work,Time as a family,More time together,"More time together as a family, time to work on potty training etc"
e7dd0ee1,More family time,More quality family time,"More family time, less stress over education",Increased family time
e84c1b4b,More outdoor activity,Much more outdoor activity.,Much more outdoor exercise over the summer. ,"She reads more, she plays outside more."
e85c9085,,A larger sense on community,More time with me,I'm working from home so more time with me
e89552ae,Increased time with sister,More family time,more time with family,"more time as a family, more time outdoors"
e9167b03,playing and spending quality with myself (her mum) and sister,Quality time spent with family and her sibling.,More family time and quality time spent together,Mote time spent outdoors walking and spending more quality time together.
e91eee51,,,,
e935e071,More hand washing,Eating healthily,"Remote Learning, increased outdoor activity",Taken up walking daily for at least 45 minutes to get some exercise and fresh air.
e9425377,spending more time together,,,
e989e0b5,Got to spend lots of time with both parents. Explored learning though play,Lots of time with family,More confident,"Closer to family, is a great reader because of extra time to sit and read."
e9957f63,,,,
e9a687cc,"more time with parent working from home, more time with other parent and siblings while out of school, finding new things they enjoy with more free time","More time to play, more time with mom and dad.",The other parent worked from home for a few months.,
e9a8a304,,Covid has given me freedom,more time with me,a lot more child minding
e9c207fa,,,,
ea5db3e0,,,,Spending more time with family
ea726ffe,More time at home together and more time with step siblings,I'm working from home so home more,More time at home together,I work from home now so more time together
eacc43f3,,,,School has been the only disruption
eb08c20f,more family time,more family time,spending more time with immediate family,more family time
eb19a9c6,,,,
ebd7902a,,,,
ebec467b,Spending more time with family.,,Spending more time with both parents,spending more time with dad
ec178d54,"not going to school, he hates it.",,,
ec1a36e1,Spending more time with his parents,More time at home as a family,Spending more time together as a family,More time spent together as a family
ec3e5274,,,,
ec9ba052,,,,Having more time at home with family
ec9db40c,,,,
ecd276ca,more awareness,More time with the family has been positive.,More family time due to the shutdown,
ecde5c00,,,,
ed0b4c8d,More time with parents,More time with Mum and Dad,More time with otherwise working parents,Quality time with both parents during lockdown
ed135e91,,,,
ed489bc9,,,,
ed49dc9b,,,,Better hand washing
ed6e242d,,,more family time,
edba0413,,No exam pressure as they've been cancelled,,He's not that keen on using public transport so this is leseened now due to half of his college classes being online.
ee4dd603,,MORE FAMILY TIME SPENT TOGETHER,,more family time doing quality things as we were unable to go 'out'
ee732875,Much better at spending time and helping his little brother,,,He is very conscious of the effect his actions have on others (not to spread the virus)
eebe1417,increased awareness and hand washing more often,"He is washing his hands more regularly and wearing a mask and gloves when we go out.  He is thinking he may want to just start wearing a mask all the time, whenever he is out in public.","He is lonely, but appreciates activities he used to take for granted.  Appreciates me and my company more than he used to express.  ","My son has become passionate about Art. This is miraculous to me because he used to be this passionate about video games. Now, he creates more Art than the time he invests in video games."
ef911e84,More conscious of personal hygiene including hand washing ,,spending more time with parents,
efba9765,more exercise with family members,,,
f0859a57,,,more time to play outside,"More family time, more time outside"
f0909e8d,stay home from school  until further notice,washed hands and better hygiene,she helped  more around the house,
f0ec97f7,,,Spending more time together as a family,More time together as a family
f110ea06,"Being home together, time to relax",time together and relax,,
f16f7014,,,More one on one time with parents,
f19bbee5,,,,
f1bc606e,,,,More time spent together as a family during the lockdown last year
f1d55dae,spending more time with family,,"more time with family, less time in child care",
f1d6fc6d,,,,
f251cf68,,,"Sees more of me, his father, as I've been working from home.","I've had to work from home, so I've saved money on travelling to work, but also saved time too, cause it would take around 2hrs a day."
f2fc8592,,,,
f31caec6,More family time,More family time,More time with family,More time with parents
f38e188d,,,,Spent more family time
f3b4cbbf,,,,we spent more time together 
f3df1735,"No school, parents home more",Home more,Time off school!,
f416a43b,More time with family and more time to play,"More free time to play, less stress about getting places on time",More free time,More family time
f4b4d4b8,more helpful to me around house,cleaning more,closer to me and siblings and grandparent,closeness among family members
f5331d90,Baking together,,,
f5aa5237,Greater time spent with parents and siblings,Greater time with parents and sibling,Greater time with parents,Greater time at home with parents (me) working from home
f620fae1,,,More time with parents (less commuting),
f657a54b,,,,he spent more time on technology
f6ae6177,,,"More time for family, can relax more",
f7550897,lots of playtime with parents,,,spending more time with family
f7d92978,Spending more time with family,Spending more time at home with family,More time with family,Spending more time with family
f82642c2,,,,
f85bdc73,Less time going to shops,,,
f907cc82,,,More quality time as a family and more direct support at home with maths.,"After shielding ended, we've made more effort to spend time outdoors"
f91b09b7,Community support,He is careful about cleaning,Spending more time together,We have to spend time with our family and we have to be careful about diseases around us.
f94f4ece,,,,
f95bde50,more watchibg the news,more time spent with me,more time spent with parents,More time spent with family
fa19ae23,training more,studying more,,
fa542310,,,,
fb1bed8b,,,,
fbfcbeb3,,More exercise and family time,Less pollution and more outside exercise,
fc3d73a9,,,,
fc43c5f7,She's come up with ideas to keep the kids in the street busy with colouring and printing them out for them,She is thinking outside the box,Time spent with family,
fc52fb4c,1:1 tuition with my wife and I,"1:1 tuition, more time with us, regular daily exercise",1:1 time home schooling,
fd6e296c,,,,
fd8c7e51,More time with family,More time with me,Spending more time together as a family,
fe16773a,no school or going out,not gong out,,
fed95afe,,,,
fedf051c,Enjoy being at home,Being creative,likes being at home,the family grew closer
ff16ea75,More time to spend outdoors in the sun,,More time with siblings,
ff4d38e7,,,More time with family,
