ID,specifypositive_April2020,specifypositive_May2020,specifypositive_Nov2020,specifypositive_April2021
9fd27604,I get to work from home. I like that,I get to work from home.,"working from home, I love it","I now work from home, which I love."
9fdabf16,,,,
a033545e,Improved personal hygiene,,,
a05983db,,it made me less active,,
a07f3a0a,,,Closer to my spouse. Appreciate life more,Closer to my wife
a0ddeaa4,,,,
a0e741a4,clean environment,,,Regrouping with family and spending more time together
a12860f6,More time for self development,Exercising more and general self development,More active and leading a healthier life,I was able to work from home for a few months.
a12dd23a,"less wasting of food, saving money",spending more time with my children,working from home is now an option,I am able to work from home for some days
a159e1dc,,,,
a17f412a,,started exercising daily,New job and life skills,"I've been eating better, I've been exercising more"
a1ca12c2,increased effort to exercise,increased exercise,more appreciative of freedoms,more appreciation for family and simpler things in life
a1fb3e3b,,,,
a269ffeb,,,,
a29c6c76,,More quality time,,Not eating out/visiting friends
a2c23e8c,,,more time to study a language and play piano,Made me focus on my hobbies and improving certain skills
a2db4e2e,,,,
a31ae0ac,A more stress free life,Less stress,,
a333828c,Wfh and no long commute has given me a lot more free time,WFH means more free time,less commuting time,dont need to commute
a443da96,More exercise.,More exercise,,
a448583a,Closer relationship to friends and family,"Closer relationship to family members due to quarantine, closer relationship to friends due to increased communication through social media.","Focused on mental and physical wellness, started a podcast, improved skincare, and lost weight","Improved relationships, improved grades, improved focus on self-care, and improved focus on goals."
a46a3524,chance to slow life down and spend time with daughter,speaking to family members more often. Closer to daughter. time to take up hobbies.,more time with daughter,More time with family and dogs
a474e45b,,Communicated with family more,,
a4810fac,"finding presence, purpose, gratitude, stoking creativity, more time with my son, lots of good home cooked meals, more awareness, more knowledge, more growth, more freedom and peace from deep within myself",perspective,insight,Inner awareness and strength
a4edb415,,,,
a553f2e5,,,,
a5575d9a,,,I exercise more,I work out a lot more and cook much more.
a58b5e9e,school cancelled,,,
a61db8ec,,More time to reflect and relax,,
a65bad7a,,,,I spent more time with my son
a69ec03a,Enjoying time at home and doing other things that I normally wouldn't have time to do,Getting a lot accomplished during quarantine,More time with close friends,
a6e3ea1b,,Greater appreciation of nature and the natural world,"Working less days, more time off",Working conditions changes
a7518dbb,more time to study and reposition for the future,Taking care of things around the house and exercising more.,"Lost weight, Gained muscle, Grew closer to wife",
a763e918,,,,
a78edc1b,People speaking that wouldn't normally and neighbours offering to shop for vulnerable,enjoying the garden more,WALKING MORE,more time with my husband
a7eede77,,,,spend less on petrol
a80e3f31,Ability to use facilities when available as a form of exercise.,"Reduced traffic to a minimum, increased time with family",More time spent at home with family etc,Relaxing
a83989aa,,,"I am baking more. I also started participating in live virtual events, conferences, training, tours, etc.  It's opened up some new experiences for me.","I've taking advantage of online classes, educational life stream events, and other interesting online events pertaining to heritage, nature, music, history, etc.  I would have never participated in these had they not all moved to the web."
a857ec3b,I have been exercising more,"Eating together as a family, bike rides and walks",,"I had time to do some sorting, get fitter"
a8b30e5f,,,,
a8c5c3d3,,Less driving,,Working from home more often
a913557e,,,work from home,
a979e3b5,,Talking more to my family,,spending more time with my husband
a99e54c8,,,Learning skills,
aa0057d2,,,,
aa33b0df,,,,
aa3ffcea,"More time with loved ones, trying to look after health better, getting more reading in","Reading more, taking better care of my health","Opportunity to keep priorities in order, more time at home with loved ones, the little things seem bigger now (in a good way)","More time with loved ones, pursuing hobbies such as journaling"
aa64cc80,,more reading and picking up musical instruments I haven't touched in years,exercising more,"My street is much quieter now , so I have been able to sleep better and that has helped me to feel better in general."
aa78ea32,,,,Prefer online examinations
aa7da913,Reduction in alcohol intake,"No alcohol, more exercise",lower alcohol use,Zero alcohol intake for long periods.
aa9abc88,More time with children,,,I've spent more time with my children because going to work isn't an option currently
aaa1a881,,,,
aae276da,,,,
aae96f84,,,,
ab3f3be8,,,"Exercise, running, weight loss",
ab4a29d7,More time at home  together with husband and baby,More time with my daughter and husband,,
abc752c6,,"More exercise, spending time with family",Made me realise a few things I need to change in my life,Became debt free
abda417a,,,,
ac03a50f,Being able to spend more time with my children,Spending more time with my husband and children,,Spent more time with my children.
ac4c47ec,,,,
ac58708f,,I started a creative project (blog),,
ac61d972,,"A lot of things such as shopping and ordering food online, a lot of things are a lot more slower to get in contact with such as banks, shopping retailers, etc.",,
ac89e935,I'm eating at home solely,"I am able to still work, and the stimulus check.",More time with family,"With the stimulus, I was able to pay a few bills"
ac9269d2,"More time for hobbies, cooking, exercise",,"No commute so more time to get out in nature, although this is harder in the week now it's dark after work",Working from home
acbbe2b3,Took time off,,Stimulus check,"stimulus money, more time"
acbcb617,Accompanied each other more,Spend more time with family ,"More time spent with family, some money saved","more time spent with self,family and significant other"
acf0665b,,,,"I was able to move back home from a school that I didn't thrive at. In addition, I was closer to my significant other."
ad3ab7a4,,Learnt how to use video calls to stay in touch,"Saving more money, walking more instead of taking buses","Better finances, simpler life, fewer worries"
ae2f8f84,,,,"been able to work from home, and to study from home, spend more time with family, exercise more, etc"
ae3b5411,,,More Family time,Family time
aef3027c,isolating 12 weeks,isolating,saved money,more outdoor exercise
af1fb2be,,,,Finding work and having time out of education
af2515aa,,,,Appreciate the little things more
af77c922,,,,
afcfa56f,,received stimulus check,stimulus check and cooking more at home,"The stimulus checks helped, and both my partner and I appreciate that we were both able to keep working when others could not."
afde9adb,Quarantine,Furloughed from work. Self isolation in my flat which has meant loss of social life and activities.,,
afe189a8,"Improved finances, less pressure, don't have to see people I don't like, spend more time with immediate family, less traffic on journey to work","Reduced traffic on my commute, means I can avoid seeing people I don't like, spend more time with my children",,"Working from home, not having such a presured life, being stuck in traffic rushing from home to work, or taking my children to after school activities."
b00fd097,"Hygiene, LOTS of walking, biking!","Washing hands, and taking exercise more seriously!","More studying, more together time with family, etc","cooked more, sorted the house out, did my garden, started to jog, etc"
b013304e,,,,"I'm glad to have moved back in with my mom; it was rough trying to afford living in the big city with my boyfriend. This past year+ has definitely been the worst of my life by a huge margin, but not all of that was due to COVID. Likewise, my mom became unemployed at the start of the pandemic, but her company was being sold anyway, and extensions of unemployment due to COVID have helped as at 60, she's yet to find another job."
b035afc9,,I've taken up new hobbies and found ways to pass the time.,,It's given me more time to practice self-care and time for my hobbies as well.
b035d0f1,Spend more time with children,Nice community feel,Spent more time with husband & children,Spending more time together as a family
b03e87b9,,,,
b086b7f4,,,Working from home permanently,"I have been able to save more due to the lack of things to do, and no commuting."
b08f17cf,,,Extra money,
b096ba3e,,,,
b0975b69,,People stay away,"Now use online shopping, fewer lines, no expectation of socializing, less traffic",It was nice to have the solitude
b0a94313,Better air quality,Cleaner air,I've got to know my wife and child much better,I'm eating more healthily and I exercise more
b0c7a26e,eating healthier,,More time with children and partner. Felt better knowing they were in the family home and safe,I started my own business and became healthier
b0cca0dc,,Being outside  gardening,More time to be outdoors,Spent ore time with family
b0cf7afb,,,,
b10ccb7a,closer with family,spending more time with family.  Gotten touch with friends and family through social media,My husband is working remotely and I got an remote job as a contact tracer,"more time with spouse, no commute and i got a job working from home as a contact tracer"
b124efa4,More free time to pursue my hobbies,more free time to pursue my interests,more free time,more free time
b1303f86,I have been able to communicate with more of my family and friends because they are home.,"Eating more home cooked meals, drinking more water",I have gotten to spend more time with my children.,"I have been able to spend more time with family, we are cooking meals at home now and my stress level has come down."
b18338ba,,,,
b1a7a59b,,Community spirit,Social distancing in restaurants,"Cleaner air, quieter streets, better connection with nature"
b1ab5609,,,,
b1c7486f,Taking more exercise,,,More time with family
b22cdeee,,,,
b22d580a,,,,
b25e4a19,I can't go to the library.,I have an excuse to be away from people,I have an excuse to be left alone.,
b2dea170,I'm able to sit online open book exams instead of regular style exams,"Less traffic on the roads, more wildlife appearing, more people enjoying the local parks",,Less drinking and spending money
b2f707c6,,Staying at home,,
b3254efa,,Cleaner Air,,
b3e92d98,self isolating,,,
b408b0da,,people seem to be treating each other with more kindness,more time with my child,"more time with my son, less social anxiety"
b40fbd68,,more money ,,
b44139f9,More free time with my partner.,More free time to pursue my hobbies and interests and learn new skills.,"More peace and quiet due to the slower pace of life, inspiration to get fitter and learn new skills/hobbies.",More peaceful quiet neighborhood (during the lockdowns). The ability to do things from home that I usually wouldn't be able to do from home (such as doctor's appointments etc).
b45ab6b6,,,,spending more time at home with my family and walking exploring our local area.
b4667028,I am taking time to enjoy the little things. My relationship with my son is getting stronger.,I have become closer to my son.,,I've started writing and publishing my own books
b4b96273,I like staying at home more. I like being able to order food from more places and have contactless delivery.,I like staying at home. I like that so many restaurants are offering food delivery now. I like that my house isn't constantly full of my kids' friends.,I like staying home.,I can stay home as much as I want and no one thinks it's weird. I can order food more often.
b4d11ab7,,,How to deal in difficult circumstances.,Now more cautious about my general health.
b4e79fe7,,Reconnected with a friend and a couple of family members that i have not heard from in a few years. ,,
b50648b0,,,"Got closer to my friends and brother, got time for myself",Good grades and more time for myself
b5577889,,,Taking things for granted,"Taking relationships for granted, able to save"
b55a7ce0,,,,
b568e463,,closer to my spouse,"cheaper to stay home, cheaper and more healthy to eat in","more home cooking, closer relationship with spouse."
b579bc7d,,,,
b5cb55ee,More exercise,More exercise (daily),,More exercise
b5efde0a,,,,
b61bcee3,Spending more time with loved ones,,Spending more time as a family,Time with family
b6433fb2,,I have invested in shares and am considering a career change/early retirement,,Time to think about what really matters
b6460218,,Finding ways to be creative,,
b67a02d3,Given me a chance to learn new skills,Reading and listening to more books,,
b6dd3e31,,,,
b71aa738,,,,
b7263027,,More time to myself.,More time to myself,"More time to relax, read  and not be stressed by work."
b73f6dd8,,"Exercise, eating better",,
b784dcbc,,Spending more time with my partner,,
b806f84f,,,,Saved more money and spent more time with dog
b821a3aa,,"Working from home, spend more time with family",More contact with friends and family abroad,Frequent contact with family and friends via zoom
b940710b,,Working from home is so much better. Commuting in London is expensive and very stressful... And that time can be used for other things. So I wish I could keep doing it after the crisis.,"Less stress because of commuting, more money because of what I save not commuting, more time because of not commuting..",Working from home is so much betger
b9699b34,,More home cooked meals,,
b9e2eaa9,,,,
b9fd789d,,,,
ba12dad1,,,,
ba13f2c6,Spending lots of time with children,"More time with family, less stress through work",,
ba7c0749,Improved my contact with family and friends,More time spent at home - getting lots of work done in the garden ,,
ba7f92f1,neighbours are a lot quieter,,saved money,
bac2868e,,I guess I feel a bit closer to family because I'm apart from them.,,Feel a bit more closer to friends and family.
bace4622,Better diet & more health conscious ,Thinking more healthy and also keeping myself and home more hygienic.,,Trying to eat more healthily and get much needed exercise. Also more organised at home with much needed internal decoration achieved. Put a financial plan in action for the foreseeable future with retirement being forced early because of Covid-19. 
bb04064b,,,,VIRTUAL LEARNING FOR MY CHILD
bb33e0f3,,,,
bb43e584,Enjoying life,"Garden very tidy, family time improved",More self reliant,
bb7ac616,,,,
bc2553e8,exercising more,,exercise and read more,
bca2ca8a,,New job,,Spend more time at home
bcde083c,I've gotten closer to friends and family,Closer to old friends,I'm more connected to a friend of mine remotely,
bcec0ea4,,less busy streets and roads,,It has made me think about my future and what I really want to do and more importantly to enjoy life as it can be short.
bd076d97,More time with children,"More family time,",,More time with family and children
bd141501,,,,
bd17d4aa,,,,
bd9728f5,I've been able to get on with DIY jobs around the house,I've had more time to do DIY projects around the house,I am doing more DIY around the house,I have had free time at home to do DIY
bda10c80,,,,
be3c3092,,,,
be85a679,"reduced traffic, quieter, people more polite in public",,,"reduces socialising, shopping, travel etc"
bef796a6,more time at home with family,More sleep,Work/life balance,"Working from home, saving time and money"
bfab4587,,More Time for myself and less crowded places,,"Being able to stay at home has helped me to save money, by saving in transport and meeting with friends."
c0010433,,,,
c04da2c5,More exercise spending less money,"more exercise, drinking less alcohol, spending less money",Sport and closer to friends,"drinking less, spending less, more time with family, able to focus on myself"
c06af846,Feeling of shared goals with community,Appreciation for what I have,,As an introvert it is easier without seeing everyone else's social activities all the time.
c12c2c79,"No social life, no meals out, no church, no shopping","No eating out, church activities, shopping or visiting",,
c189525a,,,,
c1895752,,,Saved lots of money,Saved lots of money
c1edd621,,People washing their hands more,,
c2044501,,,more offline hobbies,
c2769e52,"Community pulling together, talking to family and friends regularly on zoom",community pulling together etc,more time with family,More time at home with family
c2a0420c,"Eating healthier, less drinking",eating less/healthier and washing hands more often. More time at home means I've been more productive,More free time for hobbies,"There was a shortage of workers at my new job which led to me being hired, so my financial situation has improved and I've started saving more. Also my partner has saved so much over the pandemic that we're almost ready to buy our first house"
c2ef6b4d,,,,More time for things I'd like to do
c3367bf3,quieter surroundings,Renewed contact with old friends,,A desire for a simpler life 
c3495719,,,,
c36413a3,,,,
c39841dd,,,,
c3a13262,getting to work from home,Getting time to catch up on personal goals,scheduling flexibility,
c3c90e55,"more time spent alone, self reflecting, meditating, etc.","appreciation for my health, family and friends","more quiet time, opportunities to attend online events that wouldn't have occurred otherwise. ","opportunities to attend online events, such as Tony Robbins seminar."
c3cf3f5f,,,,saving more
c3e1ed09,,,"same income, we spend a lot less on gas",My husband working from home has saved money which would have been spent on gasoline for the car.
c3e52fbc,,,,
c407763f,,,,Home working
c42be426,,"Less smoking, more aware of surroundings ",,
c46c8d5d,,,"I cannot travel for leisure as much, I avoid going into indoor spaces apart from my house unless essential, my self employment has changed meaning I no longer work out of the house.","I am more at one with nature, I now appreciate every day things more such as going for walks"
c47594d9,,,,
c4782c12,,,Family time ,More money
c4881901,,,,
c49cd901,,,,Wash hands more.
c4bf0922,Organizing.  Relaxing.  Being present.  Not spending money,A time to re-set.  Thinking about the future more aggresively,More time with dog.  Off of the gerbil wheel of life,Realized some of the rat race were not useful
c513a2d9,,,,
c5541af2,,Better understanding of myself.,virtual meetings with people I no longer live near,Online weekly gatherings with friends who are physically distant.
c5e6fc19,,,,
c600a6f7,,,,made us spend less money and save more
c638999b,I have more time to exercise,"I talk to my family more often, I have more time to exercise, I have taken up yoga, I feel part of the local community in a new way",I exercise more. I have more time to write. I don't have to commute so much.,Working from home. Having more time for myself. Spending a lot more time outdoors. Connecting with people who live at an impractical distance online.
c6a504db,Time to do things in my home that I would not have had time to do before COVID-19,,,It has taught me to plan ahead
c6a7a272,More community spirited,cooking more healthier meals for my family,feel more calmer. Cooking more from scratch,"able to spend more time with my child, feel more rested"
c70a3968,More General reading and Bible study,More Reading,Have played Music more frequently and read more,
c71eb976,More handgel used,I wash my hands for longer,,
c74aa036,,More time to do work.,More video game time,More time with friends
c7555752,,,,
c7564bc3,Spending more time with family,"More focused on what is truly important in life. Am using this time to better myself physically, financially, etc.",More quality time spent with the family,
c79fd8d5,,,,more online purchasing
c7b02690,More physical activity,Exercising more,,"Listened to more music, exercised more"
c7db617f,Increased fitness and attention to wellbeing,I'm exercising a lot more,I've paid off some debts and become fitter,Savings have increased and less traveling which has been good.
c833bf59,,,,
c837fe2b,,Speaking more frequently to friends who aren't people i see everyday.,Better relationship with people,Appreciating family and friends more
c8c779f3,,,,
c8e33511,,,,
c9260dc7,spending time with people i care about,"Moving in with my boyfriend, free time",More free time,Left a toxic relationsjip
c97a4889,More time to work out and I am being healthier.,More time to exercise,,More time to do work
c99a0d11,"working from home, reduced commute",,no commute,working from home
c9c608d2,Less pollution ,Less pollution,less income,
ca10ff02,,,,Didn't feel pressure to go to social events I didn't care for but went anyway in the past.
ca35346c,,No alarm clock in the mornings ,,
ca69d4fa,,,,More time with my household
ca79933b,,,,
ca7d481b,A renewed focus on following passions and hobbies due to spending more time at home.,Everyone in my family has improved their cleaning policies. I have more urgency and honesty in communications with friends and family and more time to dedicate to hobbies.,Increased productivity and more free time for hobbies and self-improvement due to constant work-form-home.,More time at home to take up hobbies and finally get around to some fun projects I had always wanted to do.
ca93c84c,,,,
cb010c1f,"Due to having lost my private self-employed income, I am now devoting myself to: 1) long walks on quiet suburb streets everyday with my house-mate; 2) tending my garden in a more consistent manner and 3) appreciating the transitions of late winter into early spring.","Initially there was a 'Dunkirk' spirit - sort of - gosh, this is crap and we're all going to die, so why not make the most of it and be jolly - if you're not UK heritage, you may not understand the concept (I don't mean that rudely) but now that it's been going on since 23 rd March - some near 6 weeks, fatigue and worry have replaced the bohomie and neighbourlyness that was prevalent - now it's just - fuck, this is awful and life will never be the same and we are all poorer and are we going to survive and how are we going to cope with our financial obligations and our commitments... life sucks - and it's even worse for those with serious pre-existing co-morbidities","Much less frequent contact with family and friends - obvious, isn't it? Daft question.","I've essentially been super-shielding as am in the hyper-clinically vulnerable group and all my work has been done virtually, on-line @ home and I have really enjoyed this - plus, I have spent time @ home, in my large garden, enjoying the house and garden and taking advantage of 'slowing' down and not having to rush out the door to clients and rush around afterwards to the cinema, the pub, meals out and the theatre or go to shops - it has been much calmer and slower. On the whole, I've prefered this way of life. It's less 'consumerist and capitalist crap'."
cb560c88,More time to myself,Morr time at home with my family,,Ive completed a certification and 2 degrees
cbf4ad35,,,,Spending more time with immediate family
cc89af20,,,,
cca1fae3,spending time w spouse,reading more,spouse working at home,lunch daily with spouse
ccb38776,"more time at home with spouse, cooking, nesting for baby to come",husband and self at home together is nice - we both normally travel a lot for work so it's nice to be spending so much time together,"Eating better, husband around to take care of baby","eating better, seeing husband more"
ccc29486,My children call me more frequently,children call more often,"spend more time with spouse, saving money, fewer expenses",saved money
cd416f7e,,,,
cd6cca11,getting fit,change of outlook on life,taking up running,General outlook & evaluating wants & needs
ce04a7a7,Enjoying the silence,"Skype with family abroad every day, friends keep in touch more and inline shopping is very helpful","all shopping online, sense of contentment",
cec6b483,Less traffic on commute to/from work,Working less hours but being paid the same,,
cf0b74ce,,,,
cf3540e4,Taking time to relax,,,
cf9c00e1,,,,
cfbf5ee4,Reading more. Educating myself via online courses.,,,
cfc9506b,more exercise,eating healthily,,
d013c445,,More exercise ,,
d02503fa,,,,
d03282c8,Spending more time with my husband & child,Spending more time with my husband & child,Spending more time with husband and child,Having more free time due to not travelling to work or going out
d033b729,,,,
d03ad1e9,,,,
d077e0c3,,,,
d08b9ff4,,More time with my wife,,
d0f36abf,,,,
d0fb3fd9,I have received an increase in online survey opportunities.,Increased income and opportunity,Increased number of study/survey opportunities,A Small Increase in Financial Activity.
d100172a,,"Reduced work stress, having time t do things I don't usually, improving cooking skills",Encouraged to move,Husband found it easier to work
d144b4dd,The surrounding area is more peaceful and people are more friendly when passing whilst out for exercise.,"Enjoying walks, talking with neighbours (at a distance!), catching up with family",A better 'pace' of life and new friends,"Less stress on daily activities, getting to know neighbours better"
d18a8a5f,,i'm exercising more,,
d1e18348,promise of a federal stimulus check will help,less time wasted going shopping,I found that I prefer curbside pickup to in-store shopping and will continue this gladly.,I discovered that I really like curbside grocery pickup over in-store shopping and will continue this indefinitely.
d211aacf,,more time with son,,more time with family
d2b27fd1,,"Noticing more nature, clear skies, less traffic and quieter streets. Why can't it be like this all the time?",I have started walking more each day since the start of the first lockdown,
d2c9654c,Shop small businesses,,,
d2d5fdfb,,keeping hands away from face,,
d388fcc5,,,,
d3ca19bf,,,,Has given me more time to exercise in the morning as I now work from home and don't commute to work
d3ef8798,,,,
d401b3c5,More exercise as husband working from home so can look after toddler. More time as a family,"Time as a family, time to exercise",More time for my son with his father. Time for me to get out and exercise.,My son has been able to spend more time with us. I feel his language development has improved as a result. 
d40d550f,,Spending more time learning a language,,
d44a8505,,Better exercise,,
d479e363,,,,
d4bd0715,"More relaxed, spending less time commuting, catching up with friends who live far away","More relaxed as I am often rushing around and very busy, living with my partner during lock down has been good and we have been able to spend more time together, more time for reading and exercise","Moved in with partner, more exercise, about to get a puppy as I am will be allowed to continue flexible working post pandemic","Moved in with my partner and brought us closer together emotionally, got a dog, lost weight, improved at running"
d57fa43c,"We met and now talk to our next door neighbours, I see my partner much more frequently because he's off work a lot more (I work from home)",I've had time to start meditating daily and increase my Russian studies,I started getting into graphic design and began my own business,"I've had more time to reflect on myself and how I want to live, rather than conforming to society's extrovert ideals. I have also spent some of the time studying languages and building up my CV"
d5b9adaf,spending more time with loved ones,,,
d639b2ca,,More time for hobbies and self-care,Relaxation,More time with family
d64ea76e,Spending less,,,
d65c39f2,,,,
d693a57f,,,,
d6db32b5,Time with children,Less traffic ,,"Financially, living more simply"
d6fd68ca,,,,
d71a9ca7,"running outdoors, appreciating nature",outdoors running,"appreciation of local area, more time for lunch, more time spent in local community, options to exercise during the day","working from home, more time in local community"
d7211e12,,Spending time with my husband and children,More quality time with my husband and kids,
d747f918,Spending more time with the family,More time spent with family,Saving money and spending more time with my family,Got to spend more time with family
d77c21b7,,,,Had time to reflect on some negative things in my life and sought to remove them.
d77d5a63,,I don't have to wage slave anymore.,government lockdowns mean life is restricted generally.,less stress
d77de68a,Being with family more,Being with my children more,,
d78fde5d,spend more time with family,,,more time to spend with family.
d7add4b5,No longer leaving the house,,,
d7da96fd,MORE REGULAR DAILY EXERCISE,,,
d7e91762,,dinner around the table together as a family every night,,
d858a985,,Being friendly to other people ,More time with family and cooking,
d880d364,,More time for myself,,
d890df2b,Can't go out in public like i used to,,,
d89107ad,,,closer with family,
d8db3056,,Able to save money & family time,More family time ,Work from home
d8e41352,more gratitude,I am becoming more patient,I have been eating better than before.,I have gotten stronger mentally and emotionally.
d9961458,"More homecooked meals, spending more time with family.",,,"More time with my partner and family, led to moving and a better job."
d9d8a997,I'm exercising more,More exercise,Exercising more. Focusing more on self care.,"Going for walks, focusing on the small things, working on myself, increased fitness from exercising more"
da252a67,"Spending more time with my partner, try to learn to cook some dishes.",Spend more time with my partner,Spend more time with partner or family,"I managed to spend way more time with family and partner, I had time to get an eye surgery to correct my vision, I decided to change industry to get a job and now I have better working conditions."
da91a931,,,,
dad8a51c,Working from home,not having to drive to work,I'm not driving to work so my hip feels almost normal.  I'm less stressed not driving every day.  Even though my pay was cut I've been able to save more.,I get the privilege of working from home. I'm not putting mileage on my car.
db5b88ac,,,,
dbc78b27,Being more positive ,,not going to restaurants or holidays,"discovery of new hobbies, yoga and the great compatibility with my partner"
dbd812bc,I'm able to concentrate on helping others,Thinking of others more,,Better work/life balance due to much reduced commuting
dc163409,,,,
dc90259e,"Lower pollution, lower traffic, more wildlife about.","Reduced traffic, better air quality, lower noise pollution",,
dd154a40,,,,
dd91f642,Increased my involvement in organized texting campaigns,,,
dd9be5de,Cleaner air,Spending more time with my wife,,
dda1b46a,,,,
ddab6104,More family time,More family time,,More family time
ddba36c1,,Family time,,Saved money
ddbfca35,I've became more active.,I've started working out daily.,,More blessings
ddc9bff1,,,,better work life balance
de0f17bc,,,,
dec69815,,,More time to sleep at home.,More time to play games.
df34ae7f,more time with children,"more time with children, home schooling and crafts etc","more family time, I enjoyed schooling children when I could",More time with children
df5f2e6c,Slower paced reality,i'm an essential worker who still got a stimulus payment,stimulus money was a bonus,stimulus money benefitted us greatly.
dfcaa659,,,becoming closer to my faith,"becoming closer to my religion, spending time with family"
e00deb2a,Spending more time with my son,Spending more time with my partner and child and spending more time running for fitness.,,Getting fitter
e065300b,,,,
e0a8a5c7,,,,
e0aa7b96,,,,
e0be50ee,,,,
e0ce1e5c,"We are spending more time as a family, trying to build good memories because we are all home. Cooking at home more too.",I find that most people are more friendly and willing to help one another.,"More time with child, spouse does not travel (he used to travel much more for work)",I'm more intentional about exercising. I'm spending more time with family members although those times can also be quite stressful.
e0d783cf,Financially better,Increased work load.,More time spent with child,Spent more time with my child.
e0e1fa25,,,,
e0ea8f84,,Less traffic,"More time spent at home resulted in tidier house, garden, learned to cook more things and read more","More time to take in my immediate environment which somehow I was too busy to enjoy.  Stopped amd smell the roses now and take things less seriously, try to enjoy what's in front of me more than seeking them in far away places."
e10cc88b,,,,
e1b11a02,,working out a lot more,I'm healthier now,Ive started working out a lot more in my free time
e1f968fe,Working from home has some benefits as there is more time in the day when you don't commute,,Saved money due to less socialising (and kept job),Saved money
e24488f6,More time with partner,Spending more time with husband,Able to get things done around the house. Had time to learn new crafting skills.,Feeling more relaxed.
e25cedaf,More Time with immediate family ,Contact with friends,Speaking to my friends more on the phone,I have learnt new skills
e29cef04,Spending more quality time with my family,More quality family time,Better work life balance,Saved money and able to work from home
e30ebf7d,"Chance to complete large tasks while off work, spending time with my household ",,"Quality time with family, work grant enabled me to have a safety net for my maternity leave. Home improvements moving on much quicker. Less stress while pregnant","Time with kids, lots of fresh air, lots of home improvements completed"
e33e41a0,,"Have time to work on hobbies, thus mental health is in some ways improved",,
e3d12a9e,,,,
e3f28c63,More time spent with family.,"More time spent at home with family. Focus on health, fitness and appreciation.",more time spent with family,More time spent at home with family; re-evaluation of what's truly important.
e40000ec,I have been able to spend more time with my children,I have gotten to spend more time with my family at home,Spent more time with my family,I got to spend more time with my kids which was awesome
e40049bf,Ability to conduct visits with healthcare providers from home,Ability to obtain appointments with my many medical specialists,Greater accessibility to postsecondary educational opportunities,"My mother pursued a career that she's great at, taking a lot off my shoulders. I also had in increase in my side gig's profitability (pet sitting)"
e533ec31,I've managed to decorate the entire house and sort the garden out,,,
e55038a1,,nop rush hour on the highways,,
e59b4117,Losing weight saving money,"more time for getting house decorated,lost weight due to not going out for meals 4 times a week and saving money",,saved money and cut down on drinking alcohol
e5af4e82,,,,
e5bcd042,,unemployment pays me more than my job did ,,
e5c8b35f,,,,I have enjoyed working from home most days.
e5d8c578,Taking pleasure in the return of nature and lack of pollution,Lack of traffic/pollution and increase in wildlife,,"Less traffic, noise, pollution, better conditions for wildlife"
e616ff43,,,,
e63e4dfb,,,family time,
e68ac4eb,,"weight loss, better eating and sleep habits, less alcohol",ive been taking better care of my health,"increased attention to my own health (exercise, diet) more time for my own hobbies"
e6977453,taking more me time,"washing hands more, spending more time with kid",,working from home has helped my chronic illnesses lessened my stress.
e6d16176,,,,
e7102e13,More time with family.,,,More free time.
e8191c12,,I am connecting with my family moreand making more money from online studies about COVID-19,,
e8911202,,,,
e8c93c95,,,,
e8fca55e,"Better work, more independence",Feelings of security,,"More income, became more comfortably independent."
e9019193,keeping in touch with family more,,,
e90e6a01,more value in life,More family time,Closer with family,Closer together with those who matter most
e9198699,,,,I have managed to save money since the Pubs have been closed down.
e91b08e2,,,,
e936fca8,,,,
e93cdf78,,,,
e954ea28,more time for hobbies,more time together with my husband,,
e9684b32,better work life balance,more time for yourself,Better work life balance,Better work life balance
ea3ca5c7,,"spending more time together, and loving it",able to clear debt and save due to reduced expenditure,"We have saved plenty of money, and are far more outdoors orientated now"
ea9c68c3,,,,
eab5ada4,,I'm getting some projects done around the house.,,
eae84e56,"less time on social media, more appreciation for the little things in life, doing more self-care","more appreciation for little things, people seem friendlier to say hi from a distance when out for one hour of exercise",,Being more grateful for little things 
eaf90068,,,,
eb332f2d,,,,
eb3a76fc,not as many groups of youths hanging around at the  weekend,Time to sit and think,appreciating the small things,
eb683b4e,,The opportunity to try new ways of doing things at work,Increased work benefits/bonuses,
eb6f6fac,I spend quality time with my family,I spend quality time with my child and my husband.,I started exercising regularly.,I started to exercise regularly 
ebdd0900,More time,Eating more healthily,,
ec1b1814,,,,
ec21d7aa,,,,
ec55e6ce,,More time with children and husband,More time as a family,More time with children
ec8aab1c,More time focusing on my child,More time with my child,,
ed505ba4,I could have some rest,,,
ed59b8fd,Less people being around means the area is much quieter,,Earning money through Covid related surveys like this,
ed8f4588,,,,
ed97bfa2,Spending lots of time at home with daughter; we don't have to rush anywhere.,,"Saved mony, more family time",extra hours in work
edb34fe7,,,,
ef02ef91,Work opportunities,,Financial,Ability to work remotely
ef623c3b,cleaning needed areas,,,
efd1759d,,,,
f0616458,,I am spending more quality time with my kids.,Spend more time with my family members.  Enjoy exploring the are I live in and going out to nature parks.,I get to spend more time with my kids.  We have had to be creative and find things to entertain ourselves.  We have saved money we would have spent going out.
f074e6f8,,"Currently working from home, so spend no money of food during working hours",,
f0784f5b,,,,
f0aa1aa9,Working from home = no commute!,working from home is a positive for me,Additional savings due to not spending money on going out/travel/commuting,Increased savings rate
f0e6bc91,,,,
f12f126d,Increased gratitude,More grateful for technology to connect with family,Much more effort to stay connected with family members i can't physically see,More appreciative of being able to go out and about
